artist,title,category,category_score,lyrics,mask
Britney Spears,...Baby One More Time,travel,"[[0.04070953652262688, -0.03722711279988289, 0.07772355526685715]]","oh, baby, baby
oh, baby, baby
oh, baby, baby
how was i supposed to know
that somethin' wasn't right here?
oh, baby, baby
i shouldn't have let you go
and now you're out of sight, yeah
show me how you want it to be
tell me, baby, 'cause i need to know now
oh, because
my loneliness is killin' me (and i)
i must confess, i still believe (still believe)
when i'm not with you, i lose my mind
give me a sign
hit me, baby, one more time
oh, baby, baby
the reason i breathe is you (oh yeah)
boy, you got me blinded
oh, pretty baby
there's nothing that i wouldn't do
it's not the way i planned it
show me how you want it to be
tell me, baby, 'cause i need to know now
oh, because
my loneliness is killin' me (and i)
i must confess, i still believe (still believe)
when i'm not with you, i lose my mind
give me a sign
hit me, baby, one more time
oh, baby, baby (oh)
oh, baby, baby (yeah, yeah)
oh, baby, baby
how was i supposed to know?
oh, pretty baby
i shouldn't have let you go
i must confess that my loneliness is killin' me now
don't you know i still believe
that you will be here and give me a sign?
hit me, baby, one more time
my loneliness is killin' me (and i)
i must confess, i still believe (still believe)
when i'm not with you, i lose my mind
give me a sign
hit me, baby, one more time
i must confess that my loneliness (my loneliness is killin' me)
is killin' me now (i must confess, i still believe)
don't you know i still believe (when i'm not with you, i lose my mind)
that you will be here and give me a sign?
hit me, baby, one more time","010
010
010
100000
02000
010
000100
0000020
10000000
001000000
01
0200000
00200000
000000001
0001
100000
010
00020000
00002
001
000010
0000020
10000000
001000000
01
0200000
00200000
000000001
0001
100000
0100
01000
010
000200
001
000100
0000020000
000001
0000000001
100000
0200000
00200000
000000001
0001
100000
00000200000
0300000000
000001000000000
0000000001
100000"
Katy Perry,Firework,travel,"[[0.010769784450531006, 0.1060158759355545, 0.23182064294815063]]","do you ever feel like a plastic bag
drifting through the wind, wanting to start again?
do you ever feel, feel so paper-thin
like a house of cards, one blow from cavin' in?
do you ever feel already buried deep?
six feet under screams, but no one seems to hear a thing
do you know that there's still a chance for you?
'cause there's a spark in you
you just gotta ignite the light
and let it shine
just own the night
like the fourth of july
'cause baby, you're a firework
come on, show 'em what you're worth
make 'em go, ""ah, ah, ah""
as you shoot across the sky-y-y
baby, you're a firework
come on, let your colors burst
make 'em go, ""ah, ah, ah""
you're gonna leave 'em all in awe, awe, awe
you don't have to feel like a waste of space
you're original, cannot be replaced
if you only knew what the future holds
after a hurricane comes a rainbow
maybe a reason why all the doors are closed
so you could open one that leads you to the perfect road
like a lightning bolt, your heart will glow
and when it's time, you'll know
you just gotta ignite the light
and let it shine
just own the night
like the fourth of july
'cause baby, you're a firework
come on, show 'em what you're worth
make 'em go, ""ah, ah, ah""
as you shoot across the sky-y-y
baby, you're a firework
come on, let your colors burst
make 'em go, ""ah, ah, ah""
you're gonna leave 'em all in awe, awe, awe
boom, boom, boom
even brighter than the moon, moon, moon
it's always been inside of you, you, you
and now it's time to let it throu-ou-ough
'cause baby, you're a firework
come on show 'em what you're worth
make 'em go, ""ah, ah, ah,""
as you shoot across the sky-y-y
baby, you're a firework
come on, let your colors burst
make 'em go, ""ah, ah, ah""
you're gonna leave 'em all in awe, awe, awe
""boom, boom, boom""
even brighter than the moon, moon, moon
""boom, boom, boom""
even brighter than the moon, moon, moon","00000002
00020000
0000002
0000000030
0000001
000200000000
0000000100
000200
000200
0002
0001
00001
00003
0000001
020000
000002
0003
000020
020000
000000200
0000000001
00002
00000010
000002
000000200
000000000001
00000002
010000
000200
0002
0001
00001
00003
0000001
020000
000002
0003
000020
020000
000000200
002
0200000
00010000
00000003
00003
0000001
020000
000002
0003
000020
020000
000000200
200
0200000
200
0200000"
Katy Perry,Teenage Dream,travel,"[[0.004653488751500845, 0.008837987668812275, 0.07187557220458984]]","you think i'm pretty without any makeup on
you think i'm funny when i tell the punch line wrong
i know you get me, so i let my walls come down, down
before you met me, i was alright
but things were kinda heavy, you brought me to life
now every february, you'll be my valentine, valentine
let's go all the way tonight
no regrets, just love
we can dance until we die
you and i, we'll be young forever
you make me feel like i'm livin' a
teenage dream, the way you turn me on
i can't sleep, let's run away
and don't ever look back, don't ever look back
my heart stops when you look at me
just one touch, now, baby, i believe
this is real, so take a chance
and don't ever look back, don't ever look back
we drove to cali and got drunk on the beach
got a motel and built a fort out of sheets
i finally found you, my missing puzzle piece
i'm complete
let's go all the way tonight
no regrets, just love
we can dance until we die
you and i, we'll be young forever
you make me feel like i'm livin' a
teenage dream, the way you turn me on
i can't sleep, let's run away
and don't ever look back, don't ever look back
my heart stops when you look at me
just one touch, now, baby, i believe
this is real, so take a chance
and don't ever look back, don't ever look back
i'ma get your heart racing in my skin-tight jeans
be your teenage dream tonight
let you put your hands on me in my skin-tight jeans
be your teenage dream tonight
you make me feel like i'm livin' a (you make me)
teenage dream, the way you turn me on
i can't sleep, let's run away
and don't ever look back, don't ever look back (no)
my heart stops when you look at me
just one touch, now, baby, i believe
this is real, so take a chance (oh-oh)
and don't ever look back, don't ever look back
i'ma get your heart racing in my skin-tight jeans
be your teenage dream tonight
let you put your hands on me in my skin-tight jeans
be your teenage dream tonight","00000020
00000000200
0000000002000
1000000
0000200000
00000002
100000
0200
002000
0000010
00000020
20000000
000010
000000001
01000000
0020000
0000001
000000001
0000000002
0020000000
00000100
01
100000
0200
002000
0000010
00000020
20000000
000010
000000001
01000000
0020000
0000001
000000001
000000002
00200
00000000002
00200
00000020000
20000000
000010
0000000010
01000000
0020000
00000010
000000001
000000002
00200
00000000002
00200"
Katy Perry,Roar,leisure,"[[0.08245719969272614, 0.0873485654592514, 0.07710014283657074]]","i used to bite my tongue and hold my breath
scared to rock the boat and make a mess
so i sat quietly, agreed politely
i guess that i forgot i had a choice
i let you push me past the breaking point
i stood for nothing, so i fell for everything
you held me down, but i got up (hey)
already brushing off the dust
you hear my voice, you hear that sound
like thunder, gonna shake the ground
you held me down, but i got up (hey)
get ready 'cause i've had enough
i see it all, i see it now
i got the eye of the tiger, a fighter
dancing through the fire
'cause i am a champion, and you're gonna hear me roar
louder, louder than a lion
'cause i am a champion, and you're gonna hear me roar
oh-oh-oh-oh-oh-oh-oh
oh-oh-oh-oh-oh-oh-oh
oh-oh-oh-oh-oh-oh-oh
you're gonna hear me roar
now i'm floating like a butterfly
stinging like a bee, i earned my stripes
i went from zero, to my own hero
you held me down, but i got up (hey)
already brushing off the dust
you hear my voice, you hear that sound
like thunder, gonna shake the ground
you held me down, but i got up (got up)
get ready 'cause i've had enough
i see it all, i see it now
i got the eye of the tiger, a fighter
dancing through the fire
'cause i am a champion, and you're gonna hear me roar
louder, louder than a lion
'cause i am a champion, and you're gonna hear me roar
oh-oh-oh-oh-oh-oh-oh
oh-oh-oh-oh-oh-oh-oh
oh-oh-oh-oh-oh-oh-oh
you're gonna hear me roar
oh-oh-oh-oh-oh-oh-oh
oh-oh-oh-oh-oh-oh-oh (you'll hear me roar)
oh-oh-oh-oh-oh-oh-oh
you're gonna hear me roar
roar-oar, roar-oar, roar
i got the eye of the tiger, a fighter
dancing through the fire
'cause i am a champion, and you're gonna hear me roar
oh, louder, louder than a lion
'cause i am a champion, and you're gonna hear me roar
oh-oh-oh-oh-oh-oh-oh
oh-oh-oh-oh-oh-oh-oh
oh-oh-oh-oh-oh-oh-oh (yeah)
you're gonna hear me roar
oh-oh-oh-oh-oh-oh-oh
oh-oh-oh-oh-oh-oh-oh (you'll hear me roar)
oh-oh-oh-oh-oh-oh-oh
you're gonna hear me roar","0000000002
200000000
000200
000000001
000200000
020000000
000100000
00002
00010000
020000
000100000
010000
01000000
000000200
0001
00000000002
02000
00000000002
2
2
2
00002
002000
20000000
00000002
000100000
00002
00010000
020000
0001000000
010000
01000000
000000200
0001
00000000002
02000
00000000002
2
2
2
00002
2
20000
2
00002
300
000000200
0001
00000000002
020000
00000000002
2
2
20
00002
2
20000
2
00002"
Beyoncé,Halo,travel,"[[-0.001501861377619207, -0.0529259592294693, 0.044955018907785416]]","remember those walls i built?
well, baby, they're tumblin' down
and they didn't even put up a fight
they didn't even make a sound
i found a way to let you in
but i never really had a doubt
standin' in the light of your halo
i got my angel now
it's like i've been awakened
every rule, i had you breakin'
it's the risk that i'm takin'
i ain't ever gonna shut you out
everywhere i'm lookin' now
i'm surrounded by your embrace
baby, i can see your halo
you know you're my savin' grace
you're everything i need and more
it's written all over your face
baby, i can feel your halo
pray it won't fade away
i can feel your halo, halo, halo
i can see your halo, halo, halo
i can feel your halo, halo, halo
i can see your halo, halo, halo, ooh
hit me like a ray of sun
burnin' through my darkest night
you're the only one that i want
think i'm addicted to your light
i swore i'd never fall again
but this don't even feel like fallin'
gravity can't begin
to pull me back to the ground again
it's like i've been awakened
every rule, i had you breakin'
the risk that i'm takin'
i'm never gonna shut you out
everywhere i'm lookin' now
i'm surrounded by your embrace
baby, i can see your halo
you know you're my savin' grace
you're everything i need and more
it's written all over your face
baby, i can feel your halo
pray it won't fade away
i can feel your halo, halo, halo
i can see your halo, halo, halo
i can feel your halo, halo, halo
i can see your halo, halo, halo, ooh
i can feel your halo, halo, halo
i can see your halo, halo, halo
i can feel your halo, halo, halo
i can see your halo, halo, halo, ooh
halo, ooh
halo, ooh
ooh
everywhere i'm lookin' now
i'm surrounded by your embrace
baby, i can see your halo
you know you're my savin' grace
you're everything i need and more
it's written all over your face
baby, i can feel your halo
pray it won't fade away
i can feel your halo, halo, halo
i can see your halo, halo, halo
i can feel your halo, halo, halo
i can see your halo, halo, halo, ooh
i can feel your halo, halo, halo
i can see your halo, halo, halo
i can feel your halo, halo, halo
i can see your halo, halo, halo, ooh","00200
00030
00000001
000001
00000001
0000002
3000000
00020
00002
000003
000002
0000200
2000
00002
000002
000030
010000
010000
000002
00020
0000002
0000002
0000002
00002000
0000002
00020
0000001
002000
000010
0000003
200
00000010
00002
000003
01000
000200
2000
00002
000002
000030
010000
010000
000002
00020
0000002
0000002
0000002
00002000
0000002
0000002
0000002
00002000
20
20
2
2000
00002
000002
000030
010000
010000
000002
00020
0000002
0000002
0000002
00002000
0000002
0000002
0000002
00002000"
Beyoncé,Single Ladies,travel,"[[0.005968443118035793, 0.04815839231014252, 0.09137563407421112]]","ah, by popular demand
sasha fierce, nicki minaj, let's go
yo, rude boy, why you cross me like a little t?
i'm minaj, big m, uh-uh, not a mickey d
now i'm flyer than a broom, broom, broom, i dissed him
then i peel up in a vroom, vroom, boomin' system
now listen, no listen, listen
i was there through your bid in prison
ya know, i coulda been your wife, but sucks for you
boo-hoo, i would never rent a tux for you
excuse me, i'm buzzing like bumblebees
football and they all wanna fumble me
i was a thirty-two d's in my dungarees
can i have a couple more cucumbers, please?
now i'm that bitch, now i'm the bad witch (oh)
i need a lot of cheese up on my sandwich (yes)
just got a new boyfriend, he's pepé le pew
and he just bought me two giuseppe shoes (thank you)
that's one for right (right) and one for the left (left)
yes, to the left (left), left, to the left
now we should all go to jerry springer
and you could put the ring up on my middle finger
all the single ladies (all the single ladies)
all the single ladies (all the single ladies)
all the single ladies (all the single ladies)
all the single ladies
now put your hands up
up in the club (club), just broke up (up)
i'm doing my own little thing
decided to dip (dip), but now you wanna trip (trip)
'cause another brother noticed me
i'm up on him (him), he up on me (me)
don't pay him any attention
cried my tears (tears) for three good years (years)
you can't be mad at me
'cause if you like it, then you shoulda put a ring on it
if you like it, then you shoulda put a ring on it
don't be mad once you see that he want it
if you like it, then you shoulda put a ring on it
whoa, oh, oh, oh, oh-oh, oh, oh, oh, oh, oh, oh
whoa, oh, oh, oh, oh-oh, oh, oh, oh, oh, oh, oh
'cause if you like it, then you shoulda put a ring on it
if you like it, then you shoulda put a ring on it
don't be mad once you see that he want it
if you like it, then you shoulda put a ring on it
i got gloss on my lips (lips), a man on my hips (hips)
hold me tighter than my deréon jeans
acting up (up), drink in my cup (cup)
i can't care less what you think
i need no permission, did i mention?
don't pay him any attention
'cause you had your turn (turn)
but now you gon' learn
what it really feels like to miss me
'cause if you like it, then you shoulda put a ring on it
if you like it, then you shoulda put a ring on it
don't be mad once you see that he want it
if you like it, then you shoulda put a ring on it
whoa, oh, oh, oh, oh-oh, oh, oh, oh, oh, oh, oh
whoa, oh, oh, oh, oh-oh, oh, oh, oh, oh, oh, oh
'cause if you like it, then you shoulda put a ring on it
if you like it, then you shoulda put a ring on it
don't be mad once you see that he want it
if you like it, then you shoulda put a ring on it
whoa, oh, oh, oh, oh-oh, oh, oh, oh, oh, oh, oh
whoa, oh, oh, oh, oh-oh, oh, oh, oh, oh, oh, oh
don't treat me to the things of the world
i'm not that kind of girl
your love is what i prefer, what i deserve
here's a man that makes me, then takes me
and delivers me to a destiny, to infinity and beyond
pull me into your arms
say i'm the one you want
if you don't, you'll be alone
and like a ghost 
(hey)
, i'll be gone 
(hey)
and just like a ghost, you'll be gone, gone
diddy bop, like sean, john, john
anyway, i like lauren london
get my chopsticks, get me my wonton
'cause you thought you'd win, but i knew you'd lose
honey, i'm flyer than altitude crews (oh)
yes, i'm cool, you can chuck deuce (okay)
nicki been hot since duck, duck, goose
all the single ladies (all the single ladies)
all the single ladies (all the single ladies)
all the single ladies (all the single ladies)
all the single ladies
now put your hands up
whoa, oh, oh, oh, oh-oh, oh, oh, oh, oh, oh, oh
whoa, oh, oh, oh, oh-oh, oh, oh, oh, oh, oh, oh
whoa, oh, oh, oh
'cause if you like it, then you shoulda put a ring on it
if you like it, then you shoulda put a ring on it
don't be mad once you see that he want it
if you like it, then you shoulda put a ring on it
whoa, oh, oh, oh
'cause if you like it, then you shoulda put a ring on it
if you like it, then you shoulda put a ring on it
don't be mad once you see that he want it
if you like it, then you shoulda put a ring on it
whoa, oh, oh","0002
200000
02000000000
000000020
00000200000
0000003000
00001
00000002
00000010000
000000300
000003
0000020
00000003
00000020
0000000020
00000200000
000000002
0000002000
00000000001
000010000
00000002
00000200000
00100000
00100000
00100000
0010
00010
000100000
000010
0020000000
00100
0100000000
00001
200000000
000200
0000000000200
000000000200
0020000000
000000000200
00001000000
00001000000
0000000000200
000000000200
0020000000
000000000200
0020000000000
0000030
00000010
0010000
0002000
00001
000010
00001
00000010
0000000000200
000000000200
0020000000
000000000200
00001000000
00001000000
0000000000200
000000000200
0020000000
000000000200
00001000000
00001000000
000000001
000001
010000000
000000010
0000020000
20000
000001
000001
0002
1
0001
1
000020000
300000
00020
0030000
0000000001
0020000
00000030
2000000
00100000
00100000
00100000
0010
00010
00001000000
00001000000
2000
0000000000200
000000000200
0020000000
000000000200
2000
0000000000200
000000000200
0020000000
000000000200
200"
Beyoncé ft. Jay-Z,Crazy in Love,study,"[[0.0758015364408493, -0.03679971769452095, 0.04683144390583038]]","da (woo, ow)
totalno luda sada
neverovatno
ovde vaša b (da, woo)
ovde vaš young
spremni?
uh-oh, uh-oh, uh-oh, oh ne, ne (ow)
uh-oh, uh-oh, uh-oh, oh ne, ne
uh-oh, uh-oh, uh-oh, oh ne, ne
uh-oh, uh-oh, uh-oh, oh ne, ne
ch-yeah
istorija se stvara
drugi deo
totalno je ludo sada
gledam te duboko u oči
dodirujem te sve više i više svaki put
kad odeš, molim te da ne ideš
dozivam te dva, tri puta zaredom
toliko je smešno pokušati da objasnim
kako se osećam, a kriv je moj ponos (da, da)
jer znam da ne razumem
kako tvoja ljubav može ono što niko drugi ne može
izgledam ludo sad
tvoja ljubav me čini ludom sada (tvoja ljubav)
izgledam ludo sad
tvoj dodir me čini ludom sada (tvoj dodir)
nadam se da ćeš me pozvati sada
tvoj poljubac me tera da se nadam da ćeš me spasti sada
izgledam ludo, tvoja ljubav me čini takvom
zbog tebe sam ludo zaljubljena
uh-oh, uh-oh, uh-oh, oh ne, ne
uh-oh, uh-oh, uh-oh, oh ne, ne
uh-oh, uh-oh, uh-oh, oh ne, ne
uh-oh, uh-oh, uh-oh, oh ne, ne
kad tiho pričam sa prijateljicama
(""ko on misli da je?"") pogledaj šta si mi uradio
patike, ne moram ni da kupujem novu haljinu
ako tebe nema, nema koga da impresioniram
to je način na koji znaš ono što sam mislila da znam
to je ritam kojim moje srce preskače kad sam s tobom
ali i dalje ne razumem
kako tvoja ljubav može ono što niko drugi ne može
izgledam ludo sad
tvoja ljubav me čini ludom sada (tako ludo, tvoja ljubav)
izgledam ludo sad (tvoja ljubav)
tvoj dodir me čini ludom sada (oh, tvoj dodir)
nadam se da ćeš me pozvati sada (da)
tvoj poljubac me tera da se nadam da ćeš me spasti sada (hej)
izgledam ludo, tvoja ljubav me čini takvom (ch-yeah)
zbog tebe sam ludo zaljubljena (ch-yeah)
izgledam ludo, tvoja ljubav me čini takvom (woo)
zbog tebe sam ludo zaljubljena (zagrejana sam, idemo)
young hov, znate kad je flow lud (ne, ne)
young b i r-o-c, uh-oh (oh, ne)
o.g. big homie, jedini i neponovljivi (ne, ne)
mršav, ali džepovi su debeli kao toni soprano (ne, ne, ne)
roc rukuje kao van exel
otresem lažnjake, brate, ne možeš mi se približiti
original sam, ne pevam, ipak
bacam rime, ako ništa drugo, blingujem, yo
zvezda kao ringo, ratnik kao zeleni beret (oh)
jesi lud? dovedi celu ekipu (oh)
jay-z u range roveru, lud i poremećen
ne mogu da ga provale, pitaju se: ""hej, da li je lud?""
da, gospodine, drugačije sam krojen
moja tekstura je najbolje krzno, činčila
bio sam bolesniji od pušača lančanih cigareta
(uh-oh, uh-oh, uh-oh, oh ne, ne)
kako mislite da sam dobio ime hova?
(uh-oh, uh-oh, uh-oh, oh ne, ne)
bio sam realniji, igra je gotova
povuci se, young
(uh-oh, uh-oh, uh-oh, oh ne, ne)
otkad sam prešao na platinu
(uh-oh, uh-oh, uh-oh, oh ne, ne)
igra je završena, jedan
izgledam tako ludo, dušo moja
nisam svoja u poslednje vreme, glupa sam, ovo inače ne radim
zezam samu sebe, dušo, nije me briga
jer tvoja ljubav je izvukla ono najbolje iz mene
i, dušo, praviš budalu od mene
zaljubljena sam i nije me briga ko vidi
jer dušo, ti me imaš, ti me imaš
ti si me totalno izludeo, dušo (hej)
izgledam ludo sad (tvoja ljubav)
tvoja ljubav me čini ludom sada (izgledam ludo)
izgledam ludo sad
tvoj dodir me čini ludom sada (dušo, tvoj dodir)
nadam se da ćeš me pozvati sada (da, dušo)
tvoj poljubac me tera da se nadam da ćeš me spasti sada (oh)
izgledam ludo, tvoja ljubav me čini takvom (da)
zbog tebe sam ludo zaljubljena (woah)
izgledam ludo sad
tvoja ljubav me čini ludom sada (tvoja ljubav)
izgledam ludo sad
tvoj dodir me čini ludom sada (tvoj dodir)
nadam se da ćeš me pozvati sada
tvoj poljubac me tera da se nadam da ćeš me spasti sada
izgledam ludo, tvoja ljubav me čini takvom
zbog tebe sam ludo zaljubljena","200
300
3
30000
300
3
0000002
000020
000020
000020
2
300
30
0030
00300
00300000
0300000
300000
300000
0000000300
00003
3000000000
030
03000000
030
03000000
0000030
030000000000
0000003
00003
000020
000020
000020
000020
00003
0000030000
00000300
0030000
000000000003
00003000000
00003
3000000000
030
0300000000
30000
300000000
00000300
0300000000000
00000030
000030
00000030
00003000
000020000
1000000
00000300
30000000000
03000
03000000
00003
0000300
30000000
000030
2000000
000003000000
00300
000300
0000003
200000
3000000
200000
003000
300
200000
00003
200000
0030
00003
00030000000
0000300
000000300
000300
30000000
03000000
0000030
30000
03000000
030
030000000
000003000
0300000000000
00000030
000030
030
03000000
030
03000000
0000030
030000000000
0000003
00003"
Jay-Z ft. Alicia Keys,Empire State of Mind,leisure,"[[0.050660233944654465, 0.10810645669698715, 0.1047440767288208]]","sí
sí, estoy fuera de brooklyn, ahora estoy en tribeca
estoy al lado de de niro, pero estaré en el barrio siempre
soy el nuevo sinatra, y desde que llegue aquí
lo puedo hacer en cualquier parte, sí, me aman en todas partes
solía coger en harlem – hola, mis dominicanos (¡dinero!)
ahí en broadway, me llevaron de vuelta a ese mcdonald's
lo llevé a mi escondite, 560 state street
atrapame en la cocina, cómo un simmons batiendo pasteles
cruzando la 8th street, saliendo de un lexus blanco
conduciendo despacio, pero bk es de texas
¿yo? ahora estoy en bed-stuy, hogar de éste chico llamado biggie
ahora vivo en billboard y traje a mis chicos conmigo
saludos a ty ty, que aún toma mai tais
sentados en la cancha, knicks y nets me dan esos cinco
negro, me emociona todo esto, no puedo actuar como un referee
pero por mi actitud puedes adivinar de dónde soy
en nueva york (ayy, aha) (uh, sí)
la jungla de concreto (sí) dónde los sueños se hacen realidad
no hay nada que no puedas lograr (sí) (okay)
ahora estás en nueva york (aha, aha, aha) (uh, sí)
estas calles te harán sentir como nuevo (nuevo)
las enormes luces te inspiraran (vamos) (okay)
vamos a aplaudir por nueva york (de nada, og) (uh)
nueva york (sí), nueva york (uh) (te puse caliente, negro)
veme en la x junto a la og en el juego de los yankees
mierda, he echo que la gorra de los yankees sea la más famosa
debes saber mi sangre es azul, pero no soy un crip
pero tengo una pandilla de negros caminando conmigo
bienvenido al punto más candente, la esquina donde se venden drogas
mierda de afrika bambaataa, hogar de el hip-hop
taxi amarillo, taxi gitano, taxi dólar, están de regreso
para los extranjeros, es algo no apto, pues no saben como actuar
ocho millones de historias sin contar ahí afuera
ciudad, es una pena que la mitad de ustedes no lo logren
¿yo? voy a conectarme con el especial ed, ""lo hice""
si jeezy le esta pagando a lebron, yo pagaré por dwyane wade
tres dados por cee-lo, tres cartas por marley
festival del día del empleado—descansa en paz, bob marley
estatua de la libertad, larga vida al world trade
larga vida al rey, yo—soy del empire state, esa es
en nueva york (ayy) (uh, sí)
la jungla de concreto dónde los sueños se hacen realidad
no hay nada que no puedas lograr (ese chico bueno) (okay)
ahora estás en nueva york (bienvenido a las luces brillantes, bebé) (uh, sí)
estas calles te harán sentir como nuevo
las enormes luces te inspiraran (okay)
vamos a aplaudir por nueva york (uh)
nueva york (sí), new york (uh)
luces cegadoras, chicas que necesitan bailar
para salir de la pobreza, rápidamente los carriles auxiliares se encuentran
muchos han perdido la vida por casualidad
muchas veces se pone peor – ¡no muerdas la manzana, eva!
atrapados en la multitud, ahora pones tu propio estilo
en invierno todo se vuelve frío, y tu piel apagada
la ciudad del pecado
las chicas buenas se vuelven malas, la ciudad esta repleta de ellas
mami, tomó un viaje de autobús, ahora regreso con los senos grandes
todos la montan, cómo si fuera un viaje de autobús
""alabad a maría"" a la ciudad, tu puedes ser la virgen
y jesus no te puede salvar, la vida comienza al terminar la iglesia
vine aquí por la escuela, y me gradué en lo más alto de la sociedad
jugadores de baloncesto, estrellas de rap, todos adictos a la vida nocturna
mdma te hace sentir como un campeón
la ciudad nunca duerme, mejor si te tomas un ambien
en nueva york (ayy, ow) (uh, sí)
la jungla de concreto dónde los sueños se hacen realidad
no hay nada que no puedas lograr (okay)
ahora estás en nueva york (uh, sí)
estas calles te harán sentir como nuevo
las enormes luces te inspiraran (okay)
vamos a aplaudir por nueva york (uh)
nueva york (sí), nueva york (uh)
una mano al aire por la gran ciudad (oh)
luces de la calle, grandes sueños, todos se ven bonitos (oh)
no hay lugar en el mundo que se pueda comparar (nah)
pon tus encendedores en el aire, y todos diciendo
""sí, sí"" (vamos, vamos)
""sí, sí"" (vamos)
en nueva york (uh, sí)
la jungla de concreto dónde los sueños se hacen realidad
no hay nada que no puedas lograr (okay)
ahora estás en nueva york (uh, sí)
estas calles te harán sentir como nuevo
las enormes luces te inspiraran (okay)
vamos a aplaudir por nueva york (uh)
nueva york (sí), nueva york (uh)","3
003000000
000000000030
000200000
000000000003
000000030
0020000000
00003000
000300000
300000000
3000000
20000000000
0000000003
000000300
30000000000
00000000002
020000000
0300000
00000000003
000000300
0003000000
00000030
0000030
0000300000
3000000000
00000000000002
0000000000003
00000000003
00000003
00000030000
00300000
200000000
003000000000
00030000
300000000000
0000000003
000000200000
00000002
000030000
000300000
0000000002
030000
0000000003
00000030000
0003000000000
0000003
000030
0000300
300000
030000
00000000300
0000003
00000000030
300000000
0000030000
0300
003000000000
000003000000
0000000003
00200000000
0000030000000
000030000000000
300000000000
0000003
0300000000
0300000
0000000003
00000030
0003000
0000003
000030
0000300
300000
000000030
00000300000
00002000000
003000000
0300
030
03000
0000000003
00000030
0003000
0000003
000030
0000300
300000"
Alicia Keys,Fallin’,travel,"[[0.07135014235973358, 0.033698100596666336, 0.07535222917795181]]","i keep on fallin' in
and outta love with you
sometimes i love ya, sometimes you make me blue
sometimes i feel good, at times i feel used
lovin' you, darlin', makes me so confused
i keep on fallin' in and out
of love with you
i never loved someone
the way that i'm lovin' you
oh, oh, i never felt this way
how do you give me so much pleasure
and cause me so much pain? (yeah, yeah)
just when i think i've taken more than would a fool
i start fallin' back in love with you
i keep on fallin' in and out
of love with you
i never loved someone (oh, someone)
the way that i'm lovin' you (way i, uh, uh)
oh, baby
i, i, i, i'm fallin' (yeah, yeah, yeah)
i, i, i, i'm fallin'
fall, fall, fall (sing)
fall
i keep on fallin' in and out (out)
of love with you (love with you)
i never loved someone (i never, loved)
the way that i'm lovin' you (oh)
i'm fallin' in and out (yeah)
of love with you (of love with you)
i never loved someone (no, no, no)
the way that i'm lovin' you (uh)
i'm fallin' in and out (yeah)
of love with you (of love with you)
i never loved someone (no, no, no)
the way that i'm lovin' you (uh)
what?","00030
00100
000000001
001000000
0030000
0003000
0100
0020
000020
1000000
00000002
00000100
00000000002
00300000
0003000
0100
002000
0000200000
01
00003000
00003
0010
1
00030000
0100000
0020000
0000200
030000
01000000
0020000
0000200
030000
01000000
0020000
0000200
1"
Alicia Keys,No One,travel,"[[-0.07404078543186188, -0.0051307352259755135, 0.11842068284749985]]","i just want you close
where you can stay forever
you can be sure
that it will only get better
you and me together
through the days and nights
i don't worry 'cause
everything's gonna be alright
people keep talking, they can say what they like
but all i know is everything's gonna be alright
no one, no one, no one
can get in the way of what i'm feelin'
no one, no one, no one
can get in the way of what i feel for you, you, you
can get in the way of what i feel for you
when the rain is pouring down
and my heart is hurting
you will always be around
this i know for certain
you and me together
through the days and nights
i don't worry 'cause
everything's gonna be alright
people keep talking, they can say what they like
but all i know is everything's gonna be alright
no one, no one, no one
can get in the way of what i'm feelin'
no one, no one, no one
can get in the way of what i feel for you, you, you
can get in the way of what i feel
i know some people search the world
to find something like what we have
i know people will try, try to divide, something so real
so 'til the end of time, i'm telling you there ain't
no one, no one, no one
can get in the way of what i'm feelin'
no one, no one, no one
can get in the way of what i feel for you
oh-oh-oh-oh-oh, oh-oh-oh-oh-oh
oh-oh-oh-oh-oh
oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh
oh, oh-oh-oh-oh-oh, oh-oh-oh-oh-oh
oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh, oh","00001
00002
0100
100000
0001
00002
0020
2000
001000000
000002000
010000
000000002
010000
0000000000100
00000000100
002000
00100
00001
00100
0001
00002
0020
2000
001000000
000002000
010000
000000002
010000
0000000000100
000000001
0000200
0100000
00000002000
00000000002
010000
000000002
010000
00000000100
02
2
2
002
20"
Snow Patrol,Chasing Cars,travel,"[[0.00769499596208334, 0.07588965445756912, 0.1283375769853592]]","we'll do it all
everything
on our own
we don't need
anything
or anyone
if i lay here
if i just lay here
would you lie with me and just forget the world?
i don't quite know
how to say
how i feel
those three words
are said too much
they're not enough
if i lay here
if i just lay here
would you lie with me and just forget the world?
forget what we're told
before we get too old
show me a garden that's burstin' into life
let's waste time
chasin' cars
around our heads
i need your grace
to remind me
to find my own
if i lay here
if i just lay here
would you lie with me and just forget the world?
forget what we're told
before we get too old
show me a garden that's burstin' into life
all that i am
all that i ever was
is here in your perfect eyes, they're all i can see
i don't know where
confused about how, as well
just know that these things will never change for us at all
if i lay here
if i just lay here
would you lie with me and just forget the world?","2000
1
001
100
1
01
0020
00020
0000000100
0010
001
001
001
0001
001
0020
00020
0000000100
1000
10000
00020000
020
30
002
0002
020
0001
0020
00020
0000000100
1000
10000
00020000
1000
00001
00000100000
0001
20000
000000010000
0020
00020
0000000100"
